서울,2023-01-07 00:00,흐리고 비/눈,0,3
서울,2023-01-07 12:00,맑음,0,3
서울,2023-01-08 00:00,구름많음,-4,5
서울,2023-01-08 12:00,구름많음,-4,5
서울,2023-01-09 00:00,구름많음,-1,4
서울,2023-01-09 12:00,맑음,-1,4
서울,2023-01-10 00:00,맑음,-4,4
서울,2023-01-10 12:00,맑음,-4,4
서울,2023-01-11 00:00,맑음,-3,5
서울,2023-01-11 12:00,맑음,-3,5
서울,2023-01-12 00:00,구름많음,-2,6
서울,2023-01-13 00:00,흐림,-1,6
서울,2023-01-14 00:00,흐림,2,7
인천,2023-01-07 00:00,흐리고 비/눈,0,3
인천,2023-01-07 12:00,맑음,0,3
인천,2023-01-08 00:00,구름많음,-2,5
인천,2023-01-08 12:00,구름많음,-2,5
인천,2023-01-09 00:00,구름많음,0,4
인천,2023-01-09 12:00,맑음,0,4
인천,2023-01-10 00:00,맑음,-4,3
인천,2023-01-10 12:00,맑음,-4,3
인천,2023-01-11 00:00,맑음,-2,4
인천,2023-01-11 12:00,맑음,-2,4
인천,2023-01-12 00:00,구름많음,-1,5
인천,2023-01-13 00:00,흐림,1,5
인천,2023-01-14 00:00,흐림,2,6
수원,2023-01-07 00:00,흐리고 비/눈,-1,4
수원,2023-01-07 12:00,맑음,-1,4
수원,2023-01-08 00:00,구름많음,-5,5
수원,2023-01-08 12:00,구름많음,-5,5
수원,2023-01-09 00:00,구름많음,-3,5
수원,2023-01-09 12:00,맑음,-3,5
수원,2023-01-10 00:00,맑음,-5,5
수원,2023-01-10 12:00,맑음,-5,5
수원,2023-01-11 00:00,맑음,-3,6
수원,2023-01-11 12:00,맑음,-3,6
수원,2023-01-12 00:00,구름많음,-2,6
수원,2023-01-13 00:00,흐림,-1,7
수원,2023-01-14 00:00,흐림,1,7
파주,2023-01-07 00:00,흐리고 비/눈,-2,3
파주,2023-01-07 12:00,맑음,-2,3
파주,2023-01-08 00:00,구름많음,-8,4
파주,2023-01-08 12:00,구름많음,-8,4
파주,2023-01-09 00:00,구름많음,-3,5
파주,2023-01-09 12:00,맑음,-3,5
파주,2023-01-10 00:00,맑음,-8,4
파주,2023-01-10 12:00,맑음,-8,4
파주,2023-01-11 00:00,맑음,-7,5
파주,2023-01-11 12:00,맑음,-7,5
파주,2023-01-12 00:00,구름많음,-5,6
파주,2023-01-13 00:00,흐림,-3,7
파주,2023-01-14 00:00,흐림,-4,6
이천,2023-01-07 00:00,흐리고 비/눈,-2,3
이천,2023-01-07 12:00,맑음,-2,3
이천,2023-01-08 00:00,구름많음,-7,4
이천,2023-01-08 12:00,구름많음,-7,4
이천,2023-01-09 00:00,구름많음,-5,5
이천,2023-01-09 12:00,맑음,-5,5
이천,2023-01-10 00:00,맑음,-6,5
이천,2023-01-10 12:00,맑음,-6,5
이천,2023-01-11 00:00,맑음,-6,6
이천,2023-01-11 12:00,맑음,-6,6
이천,2023-01-12 00:00,구름많음,-5,6
이천,2023-01-13 00:00,흐림,-3,6
이천,2023-01-14 00:00,흐림,-2,6
평택,2023-01-07 00:00,흐리고 비/눈,1,3
평택,2023-01-07 12:00,맑음,1,3
평택,2023-01-08 00:00,구름많음,-4,5
평택,2023-01-08 12:00,구름많음,-4,5
평택,2023-01-09 00:00,구름많음,-2,6
평택,2023-01-09 12:00,맑음,-2,6
평택,2023-01-10 00:00,맑음,-4,6
평택,2023-01-10 12:00,맑음,-4,6
평택,2023-01-11 00:00,맑음,-4,6
평택,2023-01-11 12:00,맑음,-4,6
평택,2023-01-12 00:00,구름많음,-3,8
평택,2023-01-13 00:00,흐림,-1,7
평택,2023-01-14 00:00,흐림,2,8
춘천,2023-01-07 00:00,흐리고 눈,-3,4
춘천,2023-01-07 12:00,구름많고 비/눈,-3,4
춘천,2023-01-08 00:00,구름많음,-6,3
춘천,2023-01-08 12:00,구름많음,-6,3
춘천,2023-01-09 00:00,구름많음,-4,4
춘천,2023-01-09 12:00,맑음,-4,4
춘천,2023-01-10 00:00,맑음,-7,4
춘천,2023-01-10 12:00,맑음,-7,4
춘천,2023-01-11 00:00,맑음,-6,5
춘천,2023-01-11 12:00,맑음,-6,5
춘천,2023-01-12 00:00,구름많음,-5,5
춘천,2023-01-13 00:00,흐림,-3,6
춘천,2023-01-14 00:00,흐림,-1,5
원주,2023-01-07 00:00,흐리고 눈,-1,3
원주,2023-01-07 12:00,구름많고 비/눈,-1,3
원주,2023-01-08 00:00,구름많음,-5,2
원주,2023-01-08 12:00,구름많음,-5,2
원주,2023-01-09 00:00,구름많음,-4,4
원주,2023-01-09 12:00,맑음,-4,4
원주,2023-01-10 00:00,맑음,-6,5
원주,2023-01-10 12:00,맑음,-6,5
원주,2023-01-11 00:00,맑음,-4,5
원주,2023-01-11 12:00,맑음,-4,5
원주,2023-01-12 00:00,구름많음,-3,6
원주,2023-01-13 00:00,흐림,-1,7
원주,2023-01-14 00:00,흐림,-1,6
강릉,2023-01-07 00:00,흐리고 비/눈,2,7
